team,valor_total_m,plantilla,edad_media
Real Madrid,1140.0,37,25.6
FC Barcelona,916.2,38,24.0
Real Sociedad,498.5,40,25.2
Atlético de Madrid,458.45,42,26.9
Girona FC,297.9,37,25.6
Athletic Bilbao,295.65,31,27.0
Villarreal CF,252.5,39,27.2
Valencia CF,244.73,36,23.8
Sevilla FC,228.75,49,26.7
Real Betis Balompié,224.88,42,27.0
Celta de Vigo,149.3,39,25.9
Granada CF,141.1,46,26.4
Getafe CF,133.0,40,25.7
Deportivo Alavés,123.7,41,24.5
UD Las Palmas,112.4,35,26.2
CA Osasuna,105.35,32,27.2
UD Almería,99.4,41,25.3
RCD Mallorca,87.7,35,26.9
Rayo Vallecano,63.95,30,28.9
Cádiz CF,60.7,44,27.0
